protein	dock_time	Tool
2jam	7117.755198717117	vina
2qfa	8958.328973054886	vina
3e7o	7156.161155462265	vina
3elj	6834.889773845673	vina
3npc	7930.834360837936	vina
3sx0	7439.705718755722	vina
4agl	8293.279874563217	vina
4x21	7054.898438453674	vina
5l4q	6997.986876010895	vina
6e43	6005.945128202438	vina
6q9y	7016.611008405685	vina
6s1j	7172.307658672333	vina
6y4q	7373.940226793289	vina
2jam	8693.117572069168	smina
2qfa	10403.041138887404	smina
3e7o	8612.537370204926	smina
3elj	8300.88774895668	smina
3npc	10118.715225934982	smina
3sx0	9319.685974121094	smina
4agl	9640.629364967346	smina
4x21	8581.304053068161	smina
5l4q	8486.018652915955	smina
6e43	7890.599750041962	smina
6q9y	8625.357682228088	smina
6s1j	8576.349282741547	smina
6y4q	8826.507292032242	smina
2jam	891.2733	ledock
2qfa	769.6807	ledock
3e7o	825.056802034378	ledock
3elj	807.5018768310547	ledock
3npc	735.9959969520569	ledock
3sx0	686.9849662780762	ledock
4agl	799.8951959609985	ledock
4x21	824.6805520057678	ledock
5l4q	790.5955729484558	ledock
6e43	724.4574720859528	ledock
6q9y	693.5510199069977	ledock
6s1j	760.1717138290405	ledock
6y4q	911.3286447525024	ledock
